t,cls,x,y
278,3.0,615.0,96.34375
279,3.0,608.25,96.5625
280,3.0,605.0,96.75
281,3.0,601.0,97.03125
282,3.0,598.0,97.3125
283,3.0,579.0,98.15625
284,3.0,575.5,98.4375
285,3.0,569.25,98.625
286,3.0,565.5,98.9375
287,3.0,561.75,98.9375
288,3.0,556.5,99.375
292,3.0,541.25,101.6875
293,3.0,538.0,101.34375
294,3.0,534.5,101.03125
295,3.0,516.25,106.34375
296,3.0,511.5,106.21875
296,2.0,598.75,99.65625
297,3.0,508.25,107.1875
297,2.0,595.0,99.625
298,3.0,504.625,108.0625
299,3.0,500.125,109.0
300,3.0,492.625,109.5625
300,2.0,582.25,100.375
301,3.0,477.0,113.46875
301,2.0,566.25,100.96875
302,3.0,473.125,113.71875
302,2.0,563.5,101.9375
303,3.0,463.5,115.96875
304,3.0,461.625,118.125
304,2.0,551.0,102.09375
305,3.0,457.5,118.0625
305,2.0,547.75,102.3125
306,3.0,455.375,118.625
306,2.0,543.0,103.125
307,3.0,453.5,119.3125
307,2.0,540.5,105.28125
308,3.0,449.5,121.625
308,2.0,534.25,103.75
309,3.0,446.25,121.84375
309,2.0,531.5,104.5625
310,2.0,529.25,104.8125
310,3.0,443.125,122.5
311,3.0,427.0,128.0
311,2.0,512.5,107.75
312,2.0,510.5,105.5
312,3.0,423.25,125.625
312,0.0,612.25,94.875
313,2.0,509.625,105.9375
313,3.0,420.25,125.78125
314,2.0,510.5,105.3125
314,3.0,415.875,126.15625
315,2.0,508.875,105.15625
315,3.0,413.75,129.03125
315,0.0,602.5,93.640625
316,3.0,408.5,130.25
316,2.0,503.625,106.375
316,0.0,598.5,93.75
317,3.0,405.75,131.5
317,2.0,499.875,107.09375
317,0.0,594.5,93.5
318,3.0,401.125,133.5
318,2.0,497.25,107.0
318,0.0,590.5,94.25
319,3.0,386.5,140.75
319,2.0,477.625,112.25
319,0.0,576.0,94.3125
320,3.0,382.375,142.28125
320,2.0,472.5,113.0625
320,0.0,571.25,94.75
321,3.0,375.375,148.5
321,0.0,562.0,95.625
321,2.0,463.5,113.65625
322,3.0,372.125,148.875
322,2.0,458.75,115.09375
322,0.0,558.0,96.75
323,3.0,367.5,152.28125
323,2.0,455.5,117.25
323,0.0,553.25,97.5
324,3.0,362.875,155.0
324,0.0,548.75,98.375
324,2.0,451.5,118.375
325,3.0,359.5,156.5
325,0.0,545.25,99.15625
325,2.0,446.875,120.0625
326,3.0,355.625,158.75
326,2.0,443.5,121.1875
326,0.0,542.25,99.625
327,3.0,350.5,162.65625
327,2.0,439.875,122.78125
327,0.0,539.5,100.625
328,2.0,424.625,130.5
328,3.0,334.375,173.375
328,0.0,520.5,102.09375
329,2.0,421.25,131.25
329,3.0,329.875,177.59375
329,0.0,518.0,103.75
330,3.0,324.5,180.90625
330,2.0,416.5,133.75
330,0.0,513.5,103.9375
331,3.0,321.625,183.0
331,2.0,412.5,135.28125
331,0.0,510.25,106.5
332,3.0,313.75,190.375
332,2.0,406.375,138.21875
332,0.0,506.25,108.3125
333,2.0,402.5,140.625
333,3.0,308.375,195.0625
333,0.0,500.125,108.03125
